City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
194,mao,39.8885,4.2658,48.76,100,75,26.46,ES,2023-04-01 22:45:32
195,souillac,-20.5167,57.5167,77.38,83,20,3.44,MU,2023-04-01 22:45:32
196,mangrol,21.1167,70.1167,74.44,79,45,8.9,IN,2023-04-01 22:45:32
197,rio grande,-32.035,-52.0986,68.11,65,14,12.59,BR,2023-04-01 22:45:32
198,arlit,18.7369,7.3853,73.13,6,1,13.11,NE,2023-04-01 22:45:32
199,saldanha,-33.0117,17.9442,60.85,90,0,9.78,ZA,2023-04-01 22:43:50
200,asau,46.4333,26.4,45.52,95,100,4.16,RO,2023-04-01 22:45:33
201,nichinan,31.6,131.3667,64.08,81,100,16.82,JP,2023-04-01 22:45:33
202,freeport,40.6576,-73.5832,71.58,81,0,23.02,US,2023-04-01 22:43:12
203,agua buena,7.8167,-80.4,84.78,55,100,19.26,PA,2023-04-01 22:45:33
204,hualmay,-11.0964,-77.6139,76.8,81,100,8.14,PE,2023-04-01 22:45:33
205,nuevo progreso,23.1667,-97.95,83.46,65,53,4.0,MX,2023-04-01 22:45:33
206,lata,40.1629,-8.3327,56.91,98,93,3.74,PT,2023-04-01 22:45:33
207,mar del plata,-38.0023,-57.5575,64.09,71,83,3.0,AR,2023-04-01 22:45:33
208,iqaluit,63.7506,-68.5145,4.73,77,20,2.3,CA,2023-04-01 22:45:33
209,dunedin,-45.8742,170.5036,57.79,87,59,8.99,NZ,2023-04-01 22:42:45
210,great falls,47.5002,-111.3008,48.42,66,100,27.63,US,2023-04-01 22:42:25
211,lamar,33.6668,-95.5836,71.51,27,0,5.75,US,2023-04-01 22:45:33
212,saskylakh,71.9167,114.0833,17.62,88,100,16.08,RU,2023-04-01 22:45:33
213,two hills,53.7169,-111.7518,30.43,89,100,3.91,CA,2023-04-01 22:45:18
214,najran,17.4924,44.1277,72.25,36,68,6.29,SA,2023-04-01 22:45:33
215,ostrovnoy,68.0531,39.5131,18.75,93,92,11.18,RU,2023-04-01 22:45:33
216,bayangol,50.6977,103.4656,3.94,59,90,7.58,RU,2023-04-01 22:45:34
217,irbit,57.6705,63.071,34.0,84,97,8.1,RU,2023-04-01 22:45:34
218,daokou,35.5639,114.5058,55.08,67,69,4.63,CN,2023-04-01 22:45:34
219,berekum,7.4534,-2.584,77.5,66,92,7.34,GH,2023-04-01 22:45:34
220,vila franca do campo,37.7167,-25.4333,64.81,92,100,17.09,PT,2023-04-01 22:45:34
221,bansi,27.1833,82.9333,64.96,71,9,2.82,IN,2023-04-01 22:45:34
222,matagami,49.7502,-77.6328,15.91,48,0,21.85,CA,2023-04-01 22:45:34
223,rurrenabaque,-14.4413,-67.5278,74.97,94,69,0.51,BO,2023-04-01 22:45:34
224,balkanabat,39.5108,54.3671,46.17,74,99,12.03,TM,2023-04-01 22:45:34
225,ilulissat,69.2167,-51.1,3.22,78,20,6.91,GL,2023-04-01 22:45:34
226,mundwa,27.0667,73.8167,72.86,40,22,6.04,IN,2023-04-01 22:45:35
227,illapel,-31.6308,-71.1653,72.03,47,24,4.88,CL,2023-04-01 22:45:35
228,lavrentiya,65.5833,-171.0,24.42,86,100,7.7,RU,2023-04-01 22:45:35
229,cap-chat,49.1001,-66.6821,32.0,100,100,19.57,CA,2023-04-01 22:42:25
230,galesong,-5.3166,119.3661,73.42,84,99,4.72,ID,2023-04-01 22:45:35
231,eureka,40.8021,-124.1637,52.75,88,100,3.0,US,2023-04-01 22:45:35
232,leiyang,26.4024,112.8591,66.72,94,67,5.28,CN,2023-04-01 22:45:35
233,baijiantan,45.6333,85.1833,29.1,28,0,2.89,CN,2023-04-01 22:45:35
234,tibati,6.4667,12.6333,76.82,48,62,4.32,CM,2023-04-01 22:45:35
235,port hardy,50.6996,-127.4199,44.78,61,75,3.44,CA,2023-04-01 22:45:35
236,hambantota,6.1241,81.1185,77.27,85,41,2.8,LK,2023-04-01 22:45:35
237,faanui,-16.4833,-151.75,82.38,72,0,7.38,PF,2023-04-01 22:45:35
238,carbonia,39.1672,8.5222,52.75,86,11,7.43,IT,2023-04-01 22:45:35
239,ankazoabo,-22.2833,44.5167,69.04,94,95,4.12,MG,2023-04-01 22:45:35
240,hammerfest,70.6634,23.6821,25.25,86,100,10.36,NO,2023-04-01 22:45:35
241,xiongzhou,25.1167,114.3,66.76,97,99,0.83,CN,2023-04-01 22:45:36
242,mayskiy,47.6931,40.1025,40.41,75,4,6.69,RU,2023-04-01 22:45:36
243,fairbanks,64.8378,-147.7164,29.08,51,40,9.22,US,2023-04-01 22:44:46
244,myaundzha,63.0494,147.1858,17.02,92,100,2.86,RU,2023-04-01 22:45:36
245,manjacaze,-24.7117,33.8828,68.32,97,1,4.0,MZ,2023-04-01 22:45:36
246,tezu,27.9167,96.1667,63.0,96,100,1.79,IN,2023-04-01 22:45:36
247,portland,45.5234,-122.6762,51.82,74,40,16.11,US,2023-04-01 22:44:20
248,northam,51.0333,-4.2167,46.62,88,28,14.47,GB,2023-04-01 22:45:36
249,saint-augustin,51.226,-58.6502,29.32,87,75,6.71,CA,2023-04-01 22:45:36
250,storozhevaya,43.8789,41.4514,34.05,71,1,4.74,RU,2023-04-01 22:45:36
251,itoman,26.1247,127.6694,70.18,88,75,26.46,JP,2023-04-01 22:45:36
252,luanda,-8.8368,13.2343,80.6,83,40,2.3,AO,2023-04-01 22:45:36
253,linjiang,41.8069,126.9078,52.41,61,31,1.77,CN,2023-04-01 22:45:36
254,brandon,27.9378,-82.2859,83.28,71,75,10.36,US,2023-04-01 22:41:03
255,matara,5.9485,80.5353,76.05,89,72,2.82,LK,2023-04-01 22:45:37
256,aswan,24.0934,32.907,65.5,20,0,0.0,EG,2023-04-01 22:45:37
257,hvide sande,56.0045,8.1294,33.1,73,1,15.61,DK,2023-04-01 22:45:37
258,teguldet,57.3064,88.1667,6.66,96,36,4.32,RU,2023-04-01 22:45:37
259,baghdad,33.3406,44.4009,49.91,53,0,0.0,IQ,2023-04-01 22:45:37
260,dwarka,22.2394,68.9678,75.61,71,4,10.2,IN,2023-04-01 22:45:37
261,rawson,-43.3002,-65.1023,70.32,33,74,11.3,AR,2023-04-01 22:45:37
262,petropavlovsk-kamchatskiy,53.0452,158.6483,32.59,69,0,4.47,RU,2023-04-01 22:45:37
263,pitimbu,-7.4706,-34.8086,81.19,75,100,10.02,BR,2023-04-01 22:45:37
264,bom jesus,-9.0744,-44.3586,81.77,43,64,4.92,BR,2023-04-01 22:45:37
265,the valley,18.217,-63.0578,78.94,73,40,16.11,AI,2023-04-01 22:45:37
266,shimoda,34.6667,138.95,55.11,80,97,17.18,JP,2023-04-01 22:45:37
267,egvekinot,66.3167,-179.1667,10.51,91,100,4.59,RU,2023-04-01 22:45:38
268,bakchar,57.0186,82.0711,21.33,86,100,7.25,RU,2023-04-01 22:45:38
269,goderich,43.7501,-81.7165,34.92,86,100,19.57,CA,2023-04-01 22:45:38
270,micheweni,-4.9667,39.8333,81.14,80,52,9.19,TZ,2023-04-01 22:45:38
271,mutoko,-17.397,32.2268,57.94,94,87,1.03,ZW,2023-04-01 22:45:38
272,quepos,9.4236,-84.1652,83.75,66,9,3.74,CR,2023-04-01 22:45:38
273,kaitangata,-46.2817,169.8464,52.93,93,87,10.71,NZ,2023-04-01 22:45:38
274,tazovskiy,67.4667,78.7,33.1,98,100,16.89,RU,2023-04-01 22:45:38
275,kailua,21.4022,-157.7394,80.58,78,100,5.99,US,2023-04-01 22:45:38
276,severo-yeniseyskiy,60.3725,93.0408,3.78,92,42,6.98,RU,2023-04-01 22:45:38
277,ust-kuyga,70.0167,135.6,-17.19,100,99,9.01,RU,2023-04-01 22:45:38
278,trimbak,19.9333,73.55,63.99,56,30,2.62,IN,2023-04-01 22:45:38
279,hithadhoo,-0.6,73.0833,81.79,71,93,5.86,MV,2023-04-01 22:45:39
280,son la,21.3167,103.9,66.11,62,1,2.77,VN,2023-04-01 22:45:39
281,mairipora,-23.3186,-46.5867,73.56,78,75,5.75,BR,2023-04-01 22:45:39
282,aklavik,68.2191,-135.0107,8.6,52,20,2.3,CA,2023-04-01 22:45:39
283,bud,39.447,-86.1758,42.91,84,100,16.51,US,2023-04-01 22:45:39
284,bitkine,11.9801,18.2138,82.0,13,14,0.96,TD,2023-04-01 22:45:39
285,wanning,18.8003,110.3967,77.29,85,65,7.56,CN,2023-04-01 22:45:39
286,yar-sale,66.8333,70.8333,33.17,99,100,18.41,RU,2023-04-01 22:45:39
287,mitu,1.1983,-70.1733,72.99,95,100,1.07,CO,2023-04-01 22:45:39
288,gallup,35.5281,-108.7426,60.64,9,0,14.97,US,2023-04-01 22:45:39
289,ozernovskiy,51.5,156.5167,27.41,96,28,13.51,RU,2023-04-01 22:45:39
290,bonthe,7.5264,-12.505,78.42,89,68,6.24,SL,2023-04-01 22:45:39
291,mersing,2.4312,103.8405,75.11,94,20,4.61,MY,2023-04-01 22:45:39
292,murgab,37.4966,61.9714,53.47,76,100,13.8,TM,2023-04-01 22:45:39
293,thinadhoo,0.5333,72.9333,81.41,76,97,4.27,MV,2023-04-01 22:45:39
294,ilinskiy,55.619,38.1182,43.52,100,100,7.0,RU,2023-04-01 22:45:40
295,kysyl-syr,63.8986,122.7617,-4.99,98,81,6.53,RU,2023-04-01 22:45:40
296,zalesovo,53.9939,84.7431,9.81,85,19,4.38,RU,2023-04-01 22:45:40
297,touros,-5.1989,-35.4608,80.13,79,98,10.51,BR,2023-04-01 22:42:53
298,kruisfontein,-34.0033,24.7314,58.46,76,0,4.29,ZA,2023-04-01 22:45:40
299,juneau,58.3019,-134.4197,42.22,82,75,8.05,US,2023-04-01 22:41:07
